Id,Id2,Geography,Estimate; EMPLOYMENT STATUS - Population 16 years and over,Estimate; EMPLOYMENT STATUS - Civilian labor force,Estimate; OCCUPATION - Civilian employed population 16 years and over,"Estimate; OCCUPATION - Civilian employed population 16 years and over - Management, business, science, and arts occupations",Estimate; OCCUPATION - Civilian employed population 16 years and over - Service occupations,Estimate; OCCUPATION - Civilian employed population 16 years and over - Sales and office occupations,"Estimate; OCCUPATION - Civilian employed population 16 years and over - Natural resources, construction, and maintenance occupations","Estimate; OCCUPATION - Civilian employed population 16 years and over - Production, transportation, and material moving occupations",Estimate; INDUSTRY - Civilian employed population 16 years and over,"Estimate; INDUSTRY - Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining",Estimate; INDUSTRY - Civilian employed population 16 years and over - Construction,Estimate; INDUSTRY - Civilian employed population 16 years and over - Manufacturing,Estimate; INDUSTRY - Civilian employed population 16 years and over - Wholesale trade,Estimate; INDUSTRY - Civilian employed population 16 years and over - Retail trade,"Estimate; INDUSTRY - Civilian employed population 16 years and over - Transportation and warehousing, and utilities",Estimate; INDUSTRY - Civilian employed population 16 years and over - Information,"Estimate; INDUSTRY - Civilian employed population 16 years and over - Finance and insurance, and real estate and rental and leasing","Estimate; INDUSTRY - Civilian employed population 16 years and over - Professional, scientific, and management, and administrative and waste management services","Estimate; INDUSTRY - Civilian employed population 16 years and over - Educational services, and health care and social assistance","Estimate; INDUSTRY - Civilian employed population 16 years and over - Arts, entertainment, and recreation, and accommodation and food services","Estimate; INDUSTRY - Civilian employed population 16 years and over - Other services, except public administration",Estimate; INDUSTRY - Civilian employed population 16 years and over - Public administration,Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - With Food Stamp/SNAP benefits in the past 12 months,Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars),Percent; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All people
1600000US0657456,657456,"Pittsburg city, California",53324,35701,32613,9428,8770,7488,3790,3137,32613,151,3173,1733,609,3144,2432,704,1764,5749,7105,3543,1441,1065,3094,27040,11
1600000US0657792,657792,"Pleasanton city, California",63172,40381,38784,26722,2818,7592,567,1085,38784,54,597,5566,2194,2924,1379,1636,3176,9316,6784,2558,1422,1178,371,63690,6.2
1600000US0658072,658072,"Pomona city, California",117289,80439,73563,14290,18177,17056,8303,15737,73563,1082,5210,9877,2452,8984,5211,365,3558,9758,12048,8440,4547,2031,5598,17756,20.8
1600000US0659444,659444,"Rancho Cordova city, California",55904,36270,33984,12176,6710,9278,2442,3378,33984,45,1434,2433,947,4030,2390,297,3230,4275,6303,3267,1419,3914,2859,26912,11.6
1600000US0659451,659451,"Rancho Cucamonga city, California",141324,93327,86733,37835,10034,23116,6257,9491,86733,416,4475,10070,3358,8990,5072,2080,5519,8845,22676,6116,4314,4802,4380,33136,8.4
1600000US0659920,659920,"Redding city, California",74186,41491,38781,12223,9490,9941,3513,3614,38781,422,2462,1791,505,5014,1749,583,2686,3098,11267,4786,2383,2035,3948,27619,20.3
1600000US0659962,659962,"Redlands city, California",57160,33385,31355,12710,4923,8898,2479,2345,31355,134,1513,1979,504,4398,2288,66,1503,2106,10142,3299,2179,1244,2590,31445,12.6
1600000US0660018,660018,"Redondo Beach city, California",N,N,38031,23489,3914,7504,1504,1620,38031,0,1281,5627,961,2420,1198,2561,3942,5880,7728,3114,1916,1403,757,60403,4.9
1600000US0660102,660102,"Redwood City city, California",69118,51137,49979,23147,9068,9268,4768,3728,49979,304,3983,3625,1048,4629,1275,2540,3368,11711,9135,4333,3290,738,760,49140,8.6
1600000US0660466,660466,"Rialto city, California",76909,50277,43973,7541,8565,12137,4108,11622,43973,381,3095,4206,1588,6168,7316,166,2111,3403,7448,3697,2269,2125,6894,17562,18.1
1600000US0660620,660620,"Richmond city, California",87624,55240,51266,14446,12144,11866,6649,6161,51266,186,5367,2614,972,5221,3769,836,2553,6739,11794,5098,3803,2314,3846,26238,14.5
1600000US0662000,662000,"Riverside city, California",254558,158503,145690,46061,25011,36149,14487,23982,145690,935,13196,17539,5271,16598,9323,1538,6574,13111,34419,15014,5629,6543,10872,24064,15.1
1600000US0662938,662938,"Roseville city, California",105784,64388,60844,29064,9161,15852,3017,3750,60844,0,3388,3652,1519,7597,2729,945,5938,7274,15496,6024,2266,4016,1384,37850,7.4
1600000US0664000,664000,"Sacramento city, California",395995,245978,228316,90829,45557,53868,15818,22244,228316,1550,12069,12762,5226,21549,13693,4986,15477,26567,52545,21498,12500,27894,24482,28875,19
1600000US0664224,664224,"Salinas city, California",115334,75245,72530,13742,12032,15511,21597,9648,72530,20762,4141,3725,2373,8247,2058,1152,1791,4394,11695,5783,3884,2525,3389,19160,14.8
1600000US0665000,665000,"San Bernardino city, California",155838,89604,81563,12896,21923,20034,8123,18587,81563,391,5704,6864,2476,11916,10018,730,2285,8336,14295,10112,4419,4017,17506,16025,29.4
1600000US0665042,665042,"San Buenaventura (Ventura) city, California",89992,56088,53237,22797,10390,12216,3693,4141,53237,1955,2361,3191,1952,5761,2035,761,2806,7474,11754,5857,3021,4309,2515,35474,8.2
1600000US0665084,665084,"San Clemente city, California",N,N,N,N,N,N,N,N,31708,265,1939,4191,1395,3163,784,1020,2663,5732,5530,2021,1803,1202,1189,54115,6.2
1600000US0666000,666000,"San Diego city, California",1158583,747702,701689,324212,134177,146938,42781,53581,701689,3945,30763,62337,13958,68021,29930,17822,46821,124958,145663,82666,40510,34295,29170,36954,13.1
1600000US0667000,667000,"San Francisco city, California",763084,535701,511365,291681,84766,94209,16673,24036,511365,1308,16668,26140,10756,44029,19492,27987,46016,125910,92455,58286,25611,16707,16875,61736,10.1
1600000US0668000,668000,"San Jose city, California",816000,557727,528044,235582,96407,110031,37052,48972,528044,1986,31769,84422,9486,49425,17980,18972,27270,98050,98676,50696,25069,14243,24419,42122,10.7
1600000US0668084,668084,"San Leandro city, California",74551,46116,44679,15245,9250,10470,4376,5338,44679,96,4435,4072,1783,4449,4599,689,1732,4579,9355,3713,2906,2271,2546,34201,10.2
1600000US0668196,668196,"San Marcos city, California",69872,46983,43678,16202,7060,11588,4317,4511,43678,213,2922,6674,1799,4526,650,544,2185,6888,9071,4516,2744,946,1490,30603,11.6
1600000US0668252,668252,"San Mateo city, California",85049,60231,59022,30244,10305,10105,3651,4717,59022,309,3434,5314,1083,4563,2045,2584,5037,13128,11209,6298,2773,1245,2505,58351,6.9
1600000US0668378,668378,"San Ramon city, California",58223,41273,40086,26694,2807,8218,241,2126,40086,122,658,4773,1390,2837,2362,1906,4648,9231,7746,2735,439,1239,575,60560,3.2
1600000US0669000,669000,"Santa Ana city, California",255427,173305,163464,28399,47694,36999,19288,31084,163464,1779,12676,25682,3408,20065,5753,1992,7966,25692,20257,23086,12550,2558,12516,18577,17.2
1600000US0669070,669070,"Santa Barbara city, California",76690,50449,48451,21227,10872,10827,2733,2792,48451,783,2638,3869,759,4970,1410,1684,1537,8694,10868,7749,2444,1046,1476,39565,15.8
1600000US0669084,669084,"Santa Clara city, California",101740,69152,66082,41330,8014,10034,2960,3744,66082,0,2573,11328,1089,4365,910,4239,3370,16798,13907,4724,1726,1053,1008,47046,7.1
1600000US0669088,669088,"Santa Clarita city, California",148230,99406,93654,41163,16742,22197,6120,7432,93654,77,4977,7272,1925,8813,4387,6855,5484,11759,22002,9421,6109,4573,2618,39733,7.2
1600000US0669196,669196,"Santa Maria city, California",77535,52064,49965,7773,9472,8191,18770,5759,49965,17058,1396,3108,959,3258,2345,898,1382,2533,7613,4602,2680,2133,4125,19447,15
1600000US0670000,670000,"Santa Monica city, California",81228,57028,53541,35626,6293,8883,809,1930,53541,56,548,2260,924,3192,848,7025,4919,13295,10099,7272,2183,920,611,64062,11.2
1600000US0670098,670098,"Santa Rosa city, California",140005,93617,88975,32515,18832,23068,6222,8338,88975,1011,3629,10966,3429,10675,3815,1582,6161,11083,20556,8537,4448,3083,5565,35115,9.3
1600000US0672016,672016,"Simi Valley city, California",102483,71364,68596,27314,12206,17854,5053,6169,68596,934,4140,7264,1562,8248,2764,1958,7747,7915,13866,6435,2973,2790,1929,40034,4.6
1600000US0673080,673080,"South Gate city, California",71627,45993,42076,6745,6249,12856,4163,12063,42076,204,3213,7421,2491,6113,3950,980,1751,2823,6253,3469,2169,1239,5161,16562,18.8
1600000US0673262,673262,"South San Francisco city, California",N,N,37811,12769,7968,9211,3226,4637,37811,0,2171,2769,1626,3784,2187,1314,2556,4808,7076,5842,2316,1362,461,36724,9.5
1600000US0675000,675000,"Stockton city, California",229799,138725,122970,30149,28431,28766,16463,19161,122970,3620,10827,10065,4415,15492,9200,2031,4741,9233,29496,10574,5917,7359,21336,22440,17.7
1600000US0677000,677000,"Sunnyvale city, California",121929,85569,81669,53900,9614,11471,3093,3591,81669,166,2757,15183,1853,6801,1300,7144,2572,22141,11705,5651,2174,2222,1371,56840,7
1600000US0678120,678120,"Temecula city, California",85014,56580,52267,19380,11077,13845,4086,3879,52267,414,4193,3477,1359,6400,2688,1095,3188,6434,10511,6748,2064,3696,1263,31637,8.1
1600000US0678582,678582,"Thousand Oaks city, California",106853,68044,64674,32488,10886,14127,4005,3168,64674,474,2614,6204,2148,5653,1222,2501,5657,10257,12829,7524,5089,2502,1291,50194,7.5
1600000US0680000,680000,"Torrance city, California",119708,77610,73868,37296,9485,17872,3102,6113,73868,203,1979,8922,2984,7025,4730,2289,5513,12299,13969,7921,3576,2458,1296,42684,5.1
1600000US0680238,680238,"Tracy city, California",68450,44780,42460,10521,6864,12254,5806,7015,42460,136,5511,3798,1096,6956,4334,444,2599,4106,7051,3646,1883,900,2158,28351,6.7
1600000US0680812,680812,"Turlock city, California",58813,34955,32016,9341,6831,7121,3134,5589,32016,2081,1079,5389,754,3496,1395,157,1178,2442,8756,2634,1228,1427,2467,25956,13
1600000US0680854,680854,"Tustin city, California",64603,47789,45703,22098,6618,10349,2499,4139,45703,1006,864,5592,2423,3989,1306,855,5166,7834,8256,4419,3351,642,1801,36093,10.2
1600000US0681204,681204,"Union City city, California",62644,40783,38832,15907,5974,9389,2723,4839,38832,0,1485,5750,633,4745,1881,1449,1963,7112,7394,3506,1875,1039,876,36567,6.8
1600000US0681344,681344,"Upland city, California",63442,41448,39877,14157,8772,10761,2474,3713,39877,49,2680,2482,1220,5559,2484,243,2227,5179,8019,4417,3600,1718,2482,30823,15.6
1600000US0681554,681554,"Vacaville city, California",78219,46575,45094,15302,9435,11716,4595,4046,45094,347,4231,3927,877,4561,2968,669,3257,4616,8371,5362,2440,3468,2164,34451,5.6
1600000US0681666,681666,"Vallejo city, California",98462,62862,56367,15645,15112,13095,5181,7334,56367,246,3860,4886,1495,5327,2641,1014,3331,6055,14589,6961,2748,3214,5711,28244,16.9
1600000US0682590,682590,"Victorville city, California",88509,48765,42207,10719,10487,10664,4514,5823,42207,122,2404,2698,1181,5505,4780,679,1288,4969,9153,3554,2106,3768,9298,17992,22.9
1600000US0682954,682954,"Visalia city, California",93623,55334,52425,19376,9256,12405,5972,5416,52425,2769,2488,4540,1211,5760,2307,609,2402,2919,16756,4013,3508,3143,7369,23628,20.4
1600000US0682996,682996,"Vista city, California",78765,52314,50657,11995,11935,11088,6621,9018,50657,695,5286,8952,2251,6139,1951,662,1982,6742,6668,5585,2688,1056,2994,25783,13.5
1600000US0683346,683346,"Walnut Creek city, California",59683,35781,33620,21427,3284,5878,1358,1673,33620,44,1782,1441,433,2589,1143,1641,4359,7145,7198,3329,1248,1268,1302,56225,6.9
1600000US0684200,684200,"West Covina city, California",84936,54544,51518,17492,8993,14842,3849,6342,51518,373,2748,4349,2023,6324,2764,946,3262,5422,12518,5421,1581,3787,2239,25239,10.8
1600000US0684550,684550,"Westminster city, California",74755,43657,41086,13742,7720,10470,2648,6506,41086,283,2090,7648,1171,4678,1405,682,3004,4794,6581,3920,3579,1251,4868,25222,17.7
1600000US0685292,685292,"Whittier city, California",68199,43968,41821,13933,5802,13310,3066,5710,41821,127,2338,5519,1753,4961,2475,720,3525,3310,9400,3496,2197,2000,1595,29911,9.4
1600000US0686832,686832,"Yorba Linda city, California",53293,32561,30887,16369,2798,8614,1368,1738,30887,333,719,3965,1503,3637,1691,446,3773,3760,6028,2225,1618,1189,601,52871,5.7
1600000US0686972,686972,"Yuba City city, California",51114,30326,27651,5853,4471,7289,5457,4581,27651,3630,1445,2601,1927,3087,1947,172,933,2602,4746,1840,845,1876,3238,21469,18.3
1600000US0803455,803455,"Arvada city, Colorado",94414,66678,63269,29315,9400,15414,3903,5237,63269,916,4128,5517,1986,8091,2757,1316,4193,9849,13112,5737,2965,2702,2515,37411,5.4
1600000US0804000,804000,"Aurora city, Colorado",279162,198507,189614,57451,35932,47599,24484,24148,189614,819,19947,10206,5256,23674,15292,6011,13874,26347,33767,18202,9857,6362,13412,26836,12.2
1600000US0807850,807850,"Boulder city, Colorado",95716,63185,59834,36694,9434,8658,2375,2673,59834,822,1195,3947,1242,3820,1042,2571,2303,11958,16648,8881,2934,2471,1532,40037,19.3
1600000US0809280,809280,"Broomfield city, Colorado",52782,37343,35693,19028,5423,7364,1756,2122,35693,252,1884,3632,491,3682,1240,1690,2313,6052,8691,3077,967,1722,853,45463,8.5
1600000US0812815,812815,"Centennial city, Colorado",88969,61890,59692,31938,7081,14466,2287,3920,59692,704,3470,4009,1479,5303,1996,2475,7032,10395,13153,5478,2024,2174,389,47739,2.7
1600000US0816000,816000,"Colorado Springs city, Colorado",365247,236670,223158,94748,42078,53978,16377,15977,223158,763,14936,12066,4127,23372,8076,6817,16921,31750,51578,24369,15138,13245,21087,31582,13.2
1600000US0820000,820000,"Denver city, Colorado",565318,402132,384689,183687,62215,80054,29639,29094,384689,3175,29197,17903,8999,34439,16125,12973,33449,67437,81994,45263,20378,13357,26238,39423,13.7
1600000US0827425,827425,"Fort Collins city, Colorado",135487,96319,90428,42609,16815,19858,5527,5619,90428,1729,4683,7128,1622,8746,1774,1958,5197,12446,25050,11887,4680,3528,4414,30830,15.7
1600000US0832155,832155,"Greeley city, Colorado",81215,49239,46782,12802,9235,11496,5450,7799,46782,2221,4227,4636,1237,5525,2454,445,2390,4191,10666,3872,2867,2051,4568,25327,17.3
1600000US0836410,836410,"Highlands Ranch CDP, Colorado",85531,62231,59421,35953,5056,14365,1501,2546,59421,875,2542,4082,1587,6393,1921,3890,7519,11257,11645,4387,1809,1514,726,50879,3.1
1600000US0843000,843000,"Lakewood city, Colorado",128422,88162,84908,34941,17543,18186,7664,6574,84908,1289,6855,4837,2134,10171,2650,2292,5337,13081,15186,12039,4178,4859,4332,33435,8.6
1600000US0845970,845970,"Longmont city, Colorado",72597,49445,46779,19121,8591,9748,4040,5279,46779,525,3279,7417,936,4316,1671,1081,1721,7235,9838,4895,2830,1035,2449,31601,7.5
1600000US0846465,846465,"Loveland city, Colorado",N,N,37894,13171,7469,9040,2737,5477,37894,167,2871,3758,401,4919,3248,562,1590,4680,7871,3880,2349,1598,2364,31102,9.5
1600000US0862000,862000,"Pueblo city, Colorado",88072,49203,44730,14171,10035,10916,4552,5056,44730,473,3227,2728,1182,5553,1844,1090,1437,3884,14634,4324,2402,1952,8942,21905,24.2
1600000US0877290,877290,"Thornton city, Colorado",103996,75995,73959,24937,12186,20096,7873,8867,73959,1012,6678,5269,4458,9280,4052,1873,3390,9485,13241,7335,4244,3642,3961,30194,8
1600000US0883835,883835,"Westminster city, Colorado",88066,64178,61571,24895,8628,14369,5419,8260,61571,504,4857,6382,2624,6967,3539,2026,3101,9491,10549,6911,3042,1578,3845,35328,8.7
1600000US0908000,908000,"Bridgeport city, Connecticut",115630,80336,67251,16436,20400,13545,7100,9770,67251,84,6262,5926,1083,8548,3490,953,2726,7111,18946,5740,4682,1700,14319,22462,21.9
1600000US0918430,918430,"Danbury city, Connecticut",68355,48865,46086,15336,10663,9221,3401,7465,46086,189,3265,6313,1374,6556,1414,870,2636,5643,10490,3221,2579,1536,2669,33481,8.9
1600000US0937000,937000,"Hartford city, Connecticut",94952,57402,50667,12199,14331,12916,2648,8573,50667,47,2151,4287,1022,6517,4464,739,2685,5309,13496,5779,2504,1667,20572,20162,27.3
1600000US0950370,950370,"New Britain city, Connecticut",58073,35897,33270,9013,8194,6963,2841,6259,33270,0,1985,5939,486,2849,1334,379,2250,4028,8390,2641,1741,1248,10041,21703,22.4
1600000US0952000,952000,"New Haven city, Connecticut",103763,66623,59912,22648,15952,10442,2996,7874,59912,0,1873,5218,945,5918,1740,1056,2245,5445,25243,5363,3624,1242,12038,22982,24.5
1600000US0955990,955990,"Norwalk city, Connecticut",71202,51875,48175,21304,8194,10928,4647,3102,48175,270,4507,1990,1566,5965,2394,1469,4983,8627,8728,3981,3104,591,2330,51250,7.7
1600000US0973000,973000,"Stamford city, Connecticut",105874,79367,74915,31995,18362,13911,4673,5974,74915,5,4978,3627,1152,6152,3023,1346,8582,15874,16320,7844,4197,1815,4806,48830,8.3
1600000US0980000,980000,"Waterbury city, Connecticut",84006,51601,45380,12524,10149,10581,3758,8368,45380,57,2613,6567,1166,6114,1905,998,1184,3527,15232,3097,1634,1286,12169,21504,21.9
1600000US1077580,1077580,"Wilmington city, Delaware",55192,33354,29456,10975,8594,6300,1303,2284,29456,101,915,1189,491,2996,1860,283,2432,4633,8664,3395,1531,966,6719,26096,27.7
1600000US1150000,1150000,"Washington city, District of Columbia",569932,391916,364797,223826,57472,57309,11072,15118,364797,528,9659,4429,2026,16955,13119,12562,24139,83348,67446,37492,34800,58294,40789,50567,18.6
1600000US1200410,1200410,"Alafaya CDP, Florida",N,N,N,N,N,N,N,N,41454,48,542,2322,934,2688,3135,185,4194,8353,9160,6216,1594,2083,2371,26658,15.4
1600000US1207300,1207300,"Boca Raton city, Florida",83596,46934,44316,21316,5675,13167,2809,1349,44316,78,2198,1817,1309,7001,1643,273,6101,8267,8886,3579,2511,653,892,55150,8.7
1600000US1207875,1207875,"Boynton Beach city, Florida",63572,41410,38037,11686,9220,10650,3776,2705,38037,44,3481,1548,789,5374,1434,807,2757,5402,7978,4792,2578,1053,2941,29544,14.4
1600000US1208150,1208150,"Brandon CDP, Florida",88348,59715,56949,20870,9480,17768,3018,5813,56949,47,2317,2683,1220,9305,3743,1373,6605,7470,11846,5958,1675,2707,4416,28769,8.8
1600000US1210275,1210275,"Cape Coral city, Florida",149614,86795,81359,24498,15609,24136,9818,7298,81359,332,8728,1756,2280,11134,3350,1070,5651,10541,15921,10943,5646,4007,6237,26408,11.9
1600000US1212875,1212875,"Clearwater city, Florida",93169,53605,48952,17329,10103,13886,3284,4350,48952,173,2857,2929,1239,5081,2543,684,3975,7693,10011,6644,2715,2408,6449,28596,16.7
1600000US1214400,1214400,"Coral Springs city, Florida",101738,72677,67182,29026,12722,17903,3592,3939,67182,0,2760,3431,2391,8795,2650,1556,6058,8422,17863,4853,5179,3224,4584,32124,9.3
1600000US1216475,1216475,"Davie town, Florida",82333,52362,49204,21115,7563,13560,2547,4419,49204,85,3154,1529,2408,7442,2905,409,4305,6127,11718,4713,2746,1663,4435,34256,13.8
1600000US1216525,1216525,"Daytona Beach city, Florida",56841,30527,27642,8655,6202,7646,2113,3026,27642,31,2023,1190,803,3535,696,412,1587,3250,7203,4749,761,1402,7355,23041,20.1
1600000US1216725,1216725,"Deerfield Beach city, Florida",65052,40476,36778,10839,9304,8810,4303,3522,36778,73,3515,1843,603,4753,2174,377,2398,5344,6727,5668,2071,1232,5272,24282,17.9
1600000US1217100,1217100,"Delray Beach city, Florida",58493,35172,33065,12868,8488,7899,1546,2264,33065,0,1524,900,344,5200,1337,855,2195,5099,7657,5016,1546,1392,2142,34797,12.5
1600000US1217200,1217200,"Deltona city, Florida",74258,43260,39479,11248,7231,12733,4958,3309,39479,0,3398,1757,1195,6548,2906,943,1762,4280,9081,4525,1547,1537,5145,20326,11.5
1600000US1224000,1224000,"Fort Lauderdale city, Florida",150895,98384,93879,33599,22223,23378,7940,6739,93879,147,6560,4272,3633,11407,4728,1542,8592,14487,14191,14930,5927,3463,9785,41098,15.5
1600000US1224125,1224125,"Fort Myers city, Florida",63376,33936,31438,8601,7729,9093,4178,1837,31438,441,4006,1179,491,4155,979,592,3072,3649,6392,4215,1607,660,5221,25484,17.1
1600000US1225175,1225175,"Gainesville city, Florida",116863,61284,57072,23637,14330,13817,2545,2743,57072,666,986,1227,440,7134,1736,624,2741,6568,22004,8121,3100,1725,6196,21310,33.4
1600000US1230000,1230000,"Hialeah city, Florida",202197,112933,106797,16372,25512,25282,16214,23417,106797,366,12775,10566,3235,14093,11980,2014,6090,11093,16360,8712,7372,2141,33923,15014,22.5
1600000US1232000,1232000,"Hollywood city, Florida",126732,82074,78252,25350,18082,22061,5861,6898,78252,268,3855,1513,3121,10364,4835,847,7732,10193,15056,11293,5613,3562,9525,29055,12.8
1600000US1232275,1232275,"Homestead city, Florida",N,N,N,N,N,N,N,N,25730,1738,3049,655,510,3654,1466,74,1238,3156,4023,2474,1422,2271,7875,14459,33.9
1600000US1235000,1235000,"Jacksonville city, Florida",698912,441254,414904,148271,76346,110817,35836,43634,414904,828,28917,20123,13297,48487,28087,5774,48440,56215,83089,43820,17189,20638,52625,27226,14.9
1600000US1236100,1236100,"Kendall CDP, Florida",63818,40128,38323,19085,5282,10295,1019,2642,38323,117,1758,1132,1790,3958,2426,1019,3578,5729,8841,4186,2059,1730,3950,35358,10.8
1600000US1236950,1236950,"Kissimmee city, Florida",N,N,N,N,N,N,N,N,31821,158,1588,1061,1180,5497,2997,254,2023,2505,4054,7960,1889,655,6855,18132,23.8
1600000US1238250,1238250,"Lakeland city, Florida",87586,47880,45737,16226,7138,13853,3493,5027,45737,255,2858,3106,1189,8118,2255,546,4207,7131,7824,4634,2000,1614,4653,25975,15.2
1600000US1239425,1239425,"Largo city, Florida",71234,40245,37007,10505,7811,11427,1657,5607,37007,0,1139,3765,719,5747,1588,117,5404,5264,7406,3953,1262,643,5109,25085,14.6
1600000US1239550,1239550,"Lauderhill city, Florida",52650,33287,N,N,N,N,N,N,30747,435,3521,1325,311,4635,1163,525,1256,3886,7539,4216,838,1097,5332,17700,24.3
1600000US1239925,1239925,"Lehigh Acres CDP, Florida",85412,54861,52031,12782,12066,12658,7677,6848,52031,322,7196,1707,1275,8309,3437,689,1958,5618,11065,6213,2577,1665,6247,17461,19.1
1600000US1243975,1243975,"Melbourne city, Florida",68685,36876,35020,14021,7534,7054,3722,2689,35020,47,3038,3739,297,3927,1761,347,967,4200,8499,5085,1772,1341,4507,26086,22.7
1600000US1245000,1245000,"Miami city, Florida",381277,229759,214066,66276,52060,46858,25580,23292,214066,1013,22495,9213,6950,24016,14318,4013,18206,29600,33312,30425,14657,5848,56031,25928,24.9
1600000US1245025,1245025,"Miami Beach city, Florida",80120,57386,55799,21800,12705,15164,2944,3186,55799,140,3734,1716,1240,5500,2967,1225,6045,8542,6894,13428,3560,808,6793,51020,13.5
1600000US1245060,1245060,"Miami Gardens city, Florida",90641,52458,47716,9082,12678,13522,4117,8317,47716,0,3082,1371,661,7375,7387,1332,2420,3863,10687,4175,2412,2951,9716,17395,24
1600000US1245975,1245975,"Miramar city, Florida",114470,75418,72664,26097,14128,20024,5351,7064,72664,286,3613,5245,1748,9411,4170,2429,6359,7608,18765,7396,3022,2612,3088,24408,12.4
1600000US1253000,1253000,"Orlando city, Florida",224678,159764,150974,57207,31803,39127,9823,13014,150974,702,8370,5874,4230,16629,10481,2045,10140,21127,29469,31267,6314,4326,21644,28764,19.4
1600000US1254000,1254000,"Palm Bay city, Florida",92239,51482,47935,14235,11701,10807,5525,5667,47935,605,3843,4522,305,6574,3290,499,1734,6186,9593,5757,3503,1524,5732,20939,17.4
1600000US1254200,1254200,"Palm Coast city, Florida",74456,33599,N,N,N,N,N,N,31956,0,1725,1268,294,5556,1812,339,1940,3455,7530,5047,1874,1116,3179,23259,11.7
1600000US1255775,1255775,"Pembroke Pines city, Florida",140193,92169,87937,37162,14452,23535,5638,7150,87937,186,4272,3592,2760,8063,6442,3079,7302,12077,23188,8260,3006,5710,4753,30874,11.8
1600000US1256825,1256825,"Pine Hills CDP, Florida",58095,37889,34685,6191,11540,8961,2276,5717,34685,0,2109,1508,686,5519,1678,341,1376,2860,7763,8782,1514,549,8091,15316,24.1
1600000US1257425,1257425,"Plantation city, Florida",76958,53638,51168,21817,6870,16384,3132,2965,51168,0,3145,2392,1592,7998,1426,1158,4866,9217,8525,6043,3123,1683,2170,34274,8.4
1600000US1258050,1258050,"Pompano Beach city, Florida",85917,52742,49583,12016,12463,12318,7082,5704,49583,127,6564,2386,1400,7510,2288,791,2972,7474,7707,6643,2877,844,8215,23014,18.2
1600000US1258715,1258715,"Port St. Lucie city, Florida",150620,88940,84810,22904,18500,25895,9722,7789,84810,494,7846,4110,1885,15595,4089,2513,4529,9864,18516,8042,3716,3611,6060,24802,14.1
1600000US1260950,1260950,"Riverview CDP, Florida",66714,48241,45058,18098,6466,12367,3656,4471,45058,149,2819,2098,1183,5062,2077,1435,5740,6471,10484,3699,1801,2040,3063,27632,10.3
1600000US1263000,1263000,"St. Petersburg city, Florida",224156,140488,133632,53117,24423,37136,9410,9546,133632,631,5472,6992,2641,18062,4832,2795,11932,17932,34385,14698,6776,6484,14108,31860,12.8
1600000US1268350,1268350,"Spring Hill CDP, Florida",89944,45225,41918,14065,8580,10623,3333,5317,41918,211,2286,1860,642,6301,3182,382,2771,4070,12833,4278,1472,1630,5853,22964,16.4
1600000US1269700,1269700,"Sunrise city, Florida",75705,46067,42935,14450,8617,12527,3342,3999,42935,29,1905,2971,874,7759,2035,1375,4305,3526,9106,4853,2515,1682,5003,26694,14.7
1600000US1270600,1270600,"Tallahassee city, Florida",163056,103581,95457,47137,16917,23362,3322,4719,95457,100,3550,1095,891,10838,2098,871,6043,12282,26772,11807,4468,14642,9780,25073,26.1
1600000US1270675,1270675,"Tamarac city, Florida",N,N,30716,9207,5542,9510,2957,3500,30716,0,1752,2993,679,4039,1825,1185,2152,3880,7442,1855,1713,1201,3168,26594,11.2
1600000US1271000,1271000,"Tampa city, Florida",303549,196480,181693,75432,35227,46568,11142,13324,181693,833,10891,8244,4845,20521,6475,4083,18962,25503,44368,21635,8659,6674,30461,33481,19.8
1600000US1271569,1271569,"The Hammocks CDP, Florida",N,N,33585,14157,4525,9583,2582,2738,33585,133,1993,994,1388,4723,2513,499,2673,4874,7512,2869,2249,1165,3524,27441,9.3
1600000US1271625,1271625,"The Villages CDP, Florida",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,129,39199,5.8
1600000US1272145,1272145,"Town 'n' Country CDP, Florida",70045,47013,44276,14450,8717,10967,4088,6054,44276,297,3614,2247,1163,4554,3296,1340,3878,6531,8414,5252,2645,1045,6805,25549,17.3
1600000US1276582,1276582,"Weston city, Florida",52088,35433,N,N,N,N,N,N,33254,520,746,2560,2316,3526,958,625,4080,6472,6535,2847,1244,825,583,39907,7.2
1600000US1276600,1276600,"West Palm Beach city, Florida",92747,59280,54482,19836,12431,13289,3827,5099,54482,0,3985,1954,429,9336,3271,1288,3529,7542,10667,7664,2200,2617,5152,32474,17
1600000US1301052,1301052,"Albany city, Georgia",57722,34778,29948,9228,7351,6606,1670,5093,29948,869,557,3064,824,3886,1394,922,1409,1688,8134,3296,2056,1849,8036,19894,32.5
1600000US1301696,1301696,"Alpharetta city, Georgia",49259,34140,33123,20027,3434,7214,1029,1419,33123,0,1171,2449,1163,2954,1582,1537,3445,9402,5150,2096,1276,898,714,48007,7.1
