GEO.display-label,HC01_VC40,HC03_VC40,HC01_VC41,HC03_VC41,HC01_VC42,HC03_VC42,HC01_VC43,HC03_VC43,HC01_VC44,HC03_VC44,HC01_VC45,HC03_VC45,HC01_VC49,HC03_VC49,HC01_VC50,HC03_VC50,HC01_VC51,HC03_VC51,HC01_VC52,HC03_VC52,HC01_VC53,HC03_VC53,HC01_VC54,HC03_VC54,HC01_VC55,HC03_VC55,HC01_VC56,HC03_VC56,HC01_VC57,HC03_VC57,HC01_VC58,HC03_VC58,HC01_VC59,HC03_VC59,HC01_VC60,HC03_VC60,HC01_VC61,HC03_VC61,HC01_VC62,HC03_VC62,HC01_VC66,HC03_VC66,HC01_VC67,HC03_VC67,HC01_VC68,HC03_VC68,HC01_VC69,HC03_VC69,HC01_VC70,HC03_VC70,HC01_VC101,HC03_VC101,HC01_VC118,HC01_VC130,HC03_VC130,HC01_VC134,HC03_VC134,HC03_VC161,HC03_VC167,HC03_VC171
"Bethlehem city, Pennsylvania",37540,37540,14599,38.9,8667,23.1,7462,19.9,1975,5.3,4837,12.9,37540,37540,164,0.4,1485,4,3667,9.8,985,2.6,3780,10.1,1333,3.6,989,2.6,1800,4.8,3472,9.2,11169,29.8,4478,11.9,2838,7.6,1380,3.7,37540,37540,32591,86.8,3136,8.4,1774,4.7,39,0.1,5463,18.9,26096,75647,75647,5188,6.9,15.5,29.9,18.1
"Erie city, Pennsylvania",41033,41033,10587,25.8,11379,27.7,9881,24.1,2550,6.2,6636,16.2,41033,41033,248,0.6,1750,4.3,7734,18.8,845,2.1,3800,9.3,1347,3.3,918,2.2,2199,5.4,2213,5.4,10819,26.4,6191,15.1,1952,4.8,1017,2.5,41033,41033,36365,88.6,3671,8.9,997,2.4,0,0,11832,29.6,19435,96542,96542,4904,5.1,21.6,43.2,27.3
"Philadelphia city, Pennsylvania",678752,678752,263251,38.8,154815,22.8,145435,21.4,44330,6.5,70921,10.4,678752,678752,2789,0.4,31881,4.7,44313,6.5,14166,2.1,62654,9.2,39816,5.9,14141,2.1,46745,6.9,73811,10.9,213008,31.4,63165,9.3,34638,5.1,37625,5.5,678752,678752,577914,85.1,74655,11,25817,3.8,366,0.1,149466,25.8,24685,1553764,1553764,135767,8.7,19.7,32,25.7
"Pittsburgh city, Pennsylvania",155859,155859,78705,50.5,31309,20.1,29607,19,7715,4.9,8523,5.5,155859,155859,912,0.6,5352,3.4,7624,4.9,3093,2,14140,9.1,4492,2.9,3613,2.3,13694,8.8,20460,13.1,52325,33.6,17510,11.2,7372,4.7,5272,3.4,155859,155859,134863,86.5,13575,8.7,7209,4.6,212,0.1,22342,16.4,30244,296186,296186,12683,4.3,13,27.6,19.2
"Reading city, Pennsylvania",32617,32617,3970,12.2,9253,28.4,6732,20.6,2093,6.4,10569,32.4,32617,32617,823,2.5,686,2.1,8067,24.7,508,1.6,4867,14.9,1601,4.9,95,0.3,1124,3.4,2308,7.1,6472,19.8,3668,11.2,1741,5.3,657,2,32617,32617,28327,86.8,2579,7.9,1711,5.2,0,0,12003,44.8,13652,87093,87093,7868,9,36,47.8,36.8
"Scranton city, Pennsylvania",33294,33294,10796,32.4,6217,18.7,8349,25.1,2869,8.6,5063,15.2,33294,33294,227,0.7,2072,6.2,3214,9.7,1130,3.4,4709,14.1,1857,5.6,646,1.9,1838,5.5,2480,7.4,8379,25.2,3218,9.7,2002,6,1522,4.6,33294,33294,28270,84.9,3218,9.7,1806,5.4,0,0,7891,25.8,21322,74777,74777,3458,4.6,15.5,30.4,24.5
"Cranston city, Rhode Island",41103,41103,17982,43.7,7683,18.7,9940,24.2,1865,4.5,3633,8.8,41103,41103,302,0.7,1405,3.4,5077,12.4,592,1.4,5464,13.3,1016,2.5,823,2,2411,5.9,4355,10.6,12650,30.8,2941,7.2,2135,5.2,1932,4.7,41103,41103,33411,81.3,5922,14.4,1770,4.3,0,0,2960,9.5,32011,77656,77656,1892,2.4,3.3,2.2,6
"Pawtucket city, Rhode Island",35711,35711,9749,27.3,8652,24.2,8203,23,2609,7.3,6498,18.2,35711,35711,66,0.2,1115,3.1,5293,14.8,224,0.6,5978,16.7,1160,3.2,417,1.2,2464,6.9,2985,8.4,9786,27.4,4311,12.1,1097,3.1,815,2.3,35711,35711,31834,89.1,3024,8.5,853,2.4,0,0,6321,23.1,26192,71139,71139,4393,6.2,13.6,29.2,15.6
"Providence city, Rhode Island",81536,81536,30777,37.7,20541,25.2,16291,20,3952,4.8,9975,12.2,81536,81536,78,0.1,2429,3,9331,11.4,1484,1.8,10303,12.6,3224,4,1617,2,5074,6.2,9447,11.6,24197,29.7,8910,10.9,3557,4.4,1885,2.3,81536,81536,72529,89,7174,8.8,1813,2.2,20,0,18326,31.5,23911,177936,177936,14670,8.2,21.9,36.4,24.7
"Warwick city, Rhode Island",42283,42283,17672,41.8,7325,17.3,10143,24,3030,7.2,4113,9.7,42283,42283,188,0.4,1940,4.6,3619,8.6,1537,3.6,4683,11.1,2137,5.1,727,1.7,2879,6.8,4482,10.6,13062,30.9,4251,10.1,985,2.3,1793,4.2,42283,42283,35103,83,4964,11.7,2216,5.2,0,0,4889,13.9,37017,81142,81142,2127,2.6,7.3,20.4,8.6
