GEO.display-label,HC01_VC40,HC03_VC40,HC01_VC41,HC03_VC41,HC01_VC42,HC03_VC42,HC01_VC43,HC03_VC43,HC01_VC44,HC03_VC44,HC01_VC45,HC03_VC45,HC01_VC49,HC03_VC49,HC01_VC50,HC03_VC50,HC01_VC51,HC03_VC51,HC01_VC52,HC03_VC52,HC01_VC53,HC03_VC53,HC01_VC54,HC03_VC54,HC01_VC55,HC03_VC55,HC01_VC56,HC03_VC56,HC01_VC57,HC03_VC57,HC01_VC58,HC03_VC58,HC01_VC59,HC03_VC59,HC01_VC60,HC03_VC60,HC01_VC61,HC03_VC61,HC01_VC62,HC03_VC62,HC01_VC66,HC03_VC66,HC01_VC67,HC03_VC67,HC01_VC68,HC03_VC68,HC01_VC69,HC03_VC69,HC01_VC70,HC03_VC70,HC01_VC101,HC03_VC101,HC01_VC118,HC01_VC130,HC03_VC130,HC01_VC134,HC03_VC134,HC03_VC161,HC03_VC167,HC03_VC171
"Santa Monica city, California",53541,53541,35626,66.5,6293,11.8,8883,16.6,809,1.5,1930,3.6,53541,53541,56,0.1,548,1,2260,4.2,924,1.7,3192,6,848,1.6,7025,13.1,4919,9.2,13295,24.8,10099,18.9,7272,13.6,2183,4.1,920,1.7,53541,53541,42565,79.5,3715,6.9,7261,13.6,0,0,611,1.3,64062,91727,91727,4866,5.3,6.1,6.8,11.2
"Santa Rosa city, California",88975,88975,32515,36.5,18832,21.2,23068,25.9,6222,7,8338,9.4,88975,88975,1011,1.1,3629,4.1,10966,12.3,3429,3.9,10675,12,3815,4.3,1582,1.8,6161,6.9,11083,12.5,20556,23.1,8537,9.6,4448,5,3083,3.5,88975,88975,68533,77,11075,12.4,9020,10.1,347,0.4,5565,8.7,35115,173075,173075,11177,6.5,5.6,15.2,9.3
"Simi Valley city, California",68596,68596,27314,39.8,12206,17.8,17854,26,5053,7.4,6169,9,68596,68596,934,1.4,4140,6,7264,10.6,1562,2.3,8248,12,2764,4,1958,2.9,7747,11.3,7915,11.5,13866,20.2,6435,9.4,2973,4.3,2790,4.1,68596,68596,55368,80.7,7057,10.3,5904,8.6,267,0.4,1929,4.7,40034,126141,126141,7163,5.7,2.6,12.1,4.6
"South Gate city, California",42076,42076,6745,16,6249,14.9,12856,30.6,4163,9.9,12063,28.7,42076,42076,204,0.5,3213,7.6,7421,17.6,2491,5.9,6113,14.5,3950,9.4,980,2.3,1751,4.2,2823,6.7,6253,14.9,3469,8.2,2169,5.2,1239,2.9,42076,42076,36505,86.8,3533,8.4,1997,4.7,41,0.1,5161,21.7,16562,95468,95468,10750,11.3,17.9,25.8,18.8
"South San Francisco city, California",37811,37811,12769,33.8,7968,21.1,9211,24.4,3226,8.5,4637,12.3,37811,37811,0,0,2171,5.7,2769,7.3,1626,4.3,3784,10,2187,5.8,1314,3.5,2556,6.8,4808,12.7,7076,18.7,5842,15.5,2316,6.1,1362,3.6,37811,37811,31603,83.6,4020,10.6,2188,5.8,0,0,461,2.2,36724,66917,66917,1722,2.6,5.4,14.5,9.5
"Stockton city, California",122970,122970,30149,24.5,28431,23.1,28766,23.4,16463,13.4,19161,15.6,122970,122970,3620,2.9,10827,8.8,10065,8.2,4415,3.6,15492,12.6,9200,7.5,2031,1.7,4741,3.9,9233,7.5,29496,24,10574,8.6,5917,4.8,7359,6,122970,122970,93670,76.2,21931,17.8,7200,5.9,169,0.1,21336,22.3,22440,305039,305039,18509,6.1,14.2,28.3,17.7
"Sunnyvale city, California",81669,81669,53900,66,9614,11.8,11471,14,3093,3.8,3591,4.4,81669,81669,166,0.2,2757,3.4,15183,18.6,1853,2.3,6801,8.3,1300,1.6,7144,8.7,2572,3.1,22141,27.1,11705,14.3,5651,6.9,2174,2.7,2222,2.7,81669,81669,73683,90.2,4884,6,2895,3.5,207,0.3,1371,2.4,56840,152269,152269,4728,3.1,5.1,16.4,7
"Temecula city, California",52267,52267,19380,37.1,11077,21.2,13845,26.5,4086,7.8,3879,7.4,52267,52267,414,0.8,4193,8,3477,6.7,1359,2.6,6400,12.2,2688,5.1,1095,2.1,3188,6.1,6434,12.3,10511,20.1,6748,12.9,2064,3.9,3696,7.1,52267,52267,39079,74.8,8972,17.2,3839,7.3,377,0.7,1263,3.9,31637,111877,111877,9786,8.7,6.1,12.9,8.1
"Thousand Oaks city, California",64674,64674,32488,50.2,10886,16.8,14127,21.8,4005,6.2,3168,4.9,64674,64674,474,0.7,2614,4,6204,9.6,2148,3.3,5653,8.7,1222,1.9,2501,3.9,5657,8.7,10257,15.9,12829,19.8,7524,11.6,5089,7.9,2502,3.9,64674,64674,50406,77.9,7548,11.7,6537,10.1,183,0.3,1291,2.8,50194,128297,128297,6669,5.2,4.4,15.4,7.5
"Torrance city, California",73868,73868,37296,50.5,9485,12.8,17872,24.2,3102,4.2,6113,8.3,73868,73868,203,0.3,1979,2.7,8922,12.1,2984,4,7025,9.5,4730,6.4,2289,3.1,5513,7.5,12299,16.6,13969,18.9,7921,10.7,3576,4.8,2458,3.3,73868,73868,60111,81.4,8519,11.5,5012,6.8,226,0.3,1296,2.4,42684,146398,146398,6585,4.5,3.1,7.4,5.1
"Tracy city, California",42460,42460,10521,24.8,6864,16.2,12254,28.9,5806,13.7,7015,16.5,42460,42460,136,0.3,5511,13,3798,8.9,1096,2.6,6956,16.4,4334,10.2,444,1,2599,6.1,4106,9.7,7051,16.6,3646,8.6,1883,4.4,900,2.1,42460,42460,35186,82.9,4556,10.7,2718,6.4,0,0,2158,8.1,28351,89117,89117,6572,7.4,4.4,15.2,6.7
"Turlock city, California",32016,32016,9341,29.2,6831,21.3,7121,22.2,3134,9.8,5589,17.5,32016,32016,2081,6.5,1079,3.4,5389,16.8,754,2.4,3496,10.9,1395,4.4,157,0.5,1178,3.7,2442,7.6,8756,27.3,2634,8.2,1228,3.8,1427,4.5,32016,32016,24538,76.6,6023,18.8,1365,4.3,90,0.3,2467,9.8,25956,72243,72243,3090,4.3,10.9,29.2,13
"Tustin city, California",45703,45703,22098,48.4,6618,14.5,10349,22.6,2499,5.5,4139,9.1,45703,45703,1006,2.2,864,1.9,5592,12.2,2423,5.3,3989,8.7,1306,2.9,855,1.9,5166,11.3,7834,17.1,8256,18.1,4419,9.7,3351,7.3,642,1.4,45703,45703,38579,84.4,3750,8.2,3094,6.8,280,0.6,1801,6.5,36093,80149,80149,6719,8.4,8.4,18.5,10.2
"Union City city, California",38832,38832,15907,41,5974,15.4,9389,24.2,2723,7,4839,12.5,38832,38832,0,0,1485,3.8,5750,14.8,633,1.6,4745,12.2,1881,4.8,1449,3.7,1963,5.1,7112,18.3,7394,19,3506,9,1875,4.8,1039,2.7,38832,38832,33556,86.4,3478,9,1798,4.6,0,0,876,4,36567,75221,75221,1421,1.9,3.6,8.7,6.8
"Upland city, California",39877,39877,14157,35.5,8772,22,10761,27,2474,6.2,3713,9.3,39877,39877,49,0.1,2680,6.7,2482,6.2,1220,3.1,5559,13.9,2484,6.2,243,0.6,2227,5.6,5179,13,8019,20.1,4417,11.1,3600,9,1718,4.3,39877,39877,30313,76,6156,15.4,3120,7.8,288,0.7,2482,9.1,30823,76326,76326,4553,6,11.3,28.4,15.6
"Vacaville city, California",45094,45094,15302,33.9,9435,20.9,11716,26,4595,10.2,4046,9,45094,45094,347,0.8,4231,9.4,3927,8.7,877,1.9,4561,10.1,2968,6.6,669,1.5,3257,7.2,4616,10.2,8371,18.6,5362,11.9,2440,5.4,3468,7.7,45094,45094,32763,72.7,8524,18.9,3750,8.3,57,0.1,2164,6.6,34451,90165,90165,3904,4.3,3.5,10.9,5.6
"Vallejo city, California",56367,56367,15645,27.8,15112,26.8,13095,23.2,5181,9.2,7334,13,56367,56367,246,0.4,3860,6.8,4886,8.7,1495,2.7,5327,9.5,2641,4.7,1014,1.8,3331,5.9,6055,10.7,14589,25.9,6961,12.3,2748,4.9,3214,5.7,56367,56367,43867,77.8,8509,15.1,3957,7,34,0.1,5711,14.1,28244,120853,120853,6663,5.5,11.4,25.1,16.9
"Victorville city, California",42207,42207,10719,25.4,10487,24.8,10664,25.3,4514,10.7,5823,13.8,42207,42207,122,0.3,2404,5.7,2698,6.4,1181,2.8,5505,13,4780,11.3,679,1.6,1288,3.1,4969,11.8,9153,21.7,3554,8.4,2106,5,3768,8.9,42207,42207,32594,77.2,7398,17.5,2215,5.2,0,0,9298,28.3,17992,118078,118078,7121,6,17,27,22.9
"Visalia city, California",52425,52425,19376,37,9256,17.7,12405,23.7,5972,11.4,5416,10.3,52425,52425,2769,5.3,2488,4.7,4540,8.7,1211,2.3,5760,11,2307,4.4,609,1.2,2402,4.6,2919,5.6,16756,32,4013,7.7,3508,6.7,3143,6,52425,52425,39358,75.1,9905,18.9,3162,6,0,0,7369,17.8,23628,130242,130242,6200,4.8,17,48.3,20.4
"Vista city, California",50657,50657,11995,23.7,11935,23.6,11088,21.9,6621,13.1,9018,17.8,50657,50657,695,1.4,5286,10.4,8952,17.7,2251,4.4,6139,12.1,1951,3.9,662,1.3,1982,3.9,6742,13.3,6668,13.2,5585,11,2688,5.3,1056,2.1,50657,50657,41735,82.4,3904,7.7,4887,9.6,131,0.3,2994,9.8,25783,99629,99629,10317,10.4,8.4,15.9,13.5
"Walnut Creek city, California",33620,33620,21427,63.7,3284,9.8,5878,17.5,1358,4,1673,5,33620,33620,44,0.1,1782,5.3,1441,4.3,433,1.3,2589,7.7,1143,3.4,1641,4.9,4359,13,7145,21.3,7198,21.4,3329,9.9,1248,3.7,1268,3.8,33620,33620,26109,77.7,3471,10.3,4040,12,0,0,1302,4.3,56225,68272,68272,2439,3.6,3.7,3.9,6.9
"West Covina city, California",51518,51518,17492,34,8993,17.5,14842,28.8,3849,7.5,6342,12.3,51518,51518,373,0.7,2748,5.3,4349,8.4,2023,3.9,6324,12.3,2764,5.4,946,1.8,3262,6.3,5422,10.5,12518,24.3,5421,10.5,1581,3.1,3787,7.4,51518,51518,39966,77.6,8419,16.3,3094,6,39,0.1,2239,7.3,25239,107356,107356,6987,6.5,6.7,10.8,10.8
"Westminster city, California",41086,41086,13742,33.4,7720,18.8,10470,25.5,2648,6.4,6506,15.8,41086,41086,283,0.7,2090,5.1,7648,18.6,1171,2.9,4678,11.4,1405,3.4,682,1.7,3004,7.3,4794,11.7,6581,16,3920,9.5,3579,8.7,1251,3,41086,41086,33609,81.8,3793,9.2,3684,9,0,0,4868,17.6,25222,91396,91396,6514,7.1,15.4,15.8,17.7
"Whittier city, California",41821,41821,13933,33.3,5802,13.9,13310,31.8,3066,7.3,5710,13.7,41821,41821,127,0.3,2338,5.6,5519,13.2,1753,4.2,4961,11.9,2475,5.9,720,1.7,3525,8.4,3310,7.9,9400,22.5,3496,8.4,2197,5.3,2000,4.8,41821,41821,32504,77.7,6231,14.9,3022,7.2,64,0.2,1595,5.8,29911,86066,86066,4287,5,6.8,17.6,9.4
"Yorba Linda city, California",30887,30887,16369,53,2798,9.1,8614,27.9,1368,4.4,1738,5.6,30887,30887,333,1.1,719,2.3,3965,12.8,1503,4.9,3637,11.8,1691,5.5,446,1.4,3773,12.2,3760,12.2,6028,19.5,2225,7.2,1618,5.2,1189,3.8,30887,30887,23724,76.8,4262,13.8,2804,9.1,97,0.3,601,2.7,52871,68024,68024,1793,2.6,4.1,9.5,5.7
"Yuba City city, California",27651,27651,5853,21.2,4471,16.2,7289,26.4,5457,19.7,4581,16.6,27651,27651,3630,13.1,1445,5.2,2601,9.4,1927,7,3087,11.2,1947,7,172,0.6,933,3.4,2602,9.4,4746,17.2,1840,6.7,845,3.1,1876,6.8,27651,27651,21759,78.7,4265,15.4,1528,5.5,99,0.4,3238,14.7,21469,65879,65879,7149,10.9,13,22.9,18.3
"Arvada city, Colorado",63269,63269,29315,46.3,9400,14.9,15414,24.4,3903,6.2,5237,8.3,63269,63269,916,1.4,4128,6.5,5517,8.7,1986,3.1,8091,12.8,2757,4.4,1316,2.1,4193,6.6,9849,15.6,13112,20.7,5737,9.1,2965,4.7,2702,4.3,63269,63269,52589,83.1,7650,12.1,2953,4.7,77,0.1,2515,5.5,37411,117023,117023,4990,4.3,4.3,12.6,5.4
"Aurora city, Colorado",189614,189614,57451,30.3,35932,19,47599,25.1,24484,12.9,24148,12.7,189614,189614,819,0.4,19947,10.5,10206,5.4,5256,2.8,23674,12.5,15292,8.1,6011,3.2,13874,7.3,26347,13.9,33767,17.8,18202,9.6,9857,5.2,6362,3.4,189614,189614,162047,85.5,19167,10.1,8234,4.3,166,0.1,13412,10.5,26836,358610,358610,40807,11.4,9.2,22,12.2
"Boulder city, Colorado",59834,59834,36694,61.3,9434,15.8,8658,14.5,2375,4,2673,4.5,59834,59834,822,1.4,1195,2,3947,6.6,1242,2.1,3820,6.4,1042,1.7,2571,4.3,2303,3.8,11958,20,16648,27.8,8881,14.8,2934,4.9,2471,4.1,59834,59834,45016,75.2,9499,15.9,5246,8.8,73,0.1,1532,3.8,40037,106580,106580,4856,4.6,4.7,17.7,19.3
"Broomfield city, Colorado",35693,35693,19028,53.3,5423,15.2,7364,20.6,1756,4.9,2122,5.9,35693,35693,252,0.7,1884,5.3,3632,10.2,491,1.4,3682,10.3,1240,3.5,1690,4.7,2313,6.5,6052,17,8691,24.3,3077,8.6,967,2.7,1722,4.8,35693,35693,29080,81.5,4862,13.6,1751,4.9,0,0,853,3.2,45463,66176,66176,2987,4.5,5.5,5,8.5
"Centennial city, Colorado",59692,59692,31938,53.5,7081,11.9,14466,24.2,2287,3.8,3920,6.6,59692,59692,704,1.2,3470,5.8,4009,6.7,1479,2.5,5303,8.9,1996,3.3,2475,4.1,7032,11.8,10395,17.4,13153,22,5478,9.2,2024,3.4,2174,3.6,59692,59692,49066,82.2,6953,11.6,3599,6,74,0.1,389,1,47739,108044,108044,3616,3.3,1.4,3.3,2.7
"Colorado Springs city, Colorado",223158,223158,94748,42.5,42078,18.9,53978,24.2,16377,7.3,15977,7.2,223158,223158,763,0.3,14936,6.7,12066,5.4,4127,1.8,23372,10.5,8076,3.6,6817,3.1,16921,7.6,31750,14.2,51578,23.1,24369,10.9,15138,6.8,13245,5.9,223158,223158,174817,78.3,34550,15.5,13525,6.1,266,0.1,21087,11.4,31582,452179,452179,29977,6.6,8.9,27.4,13.2
"Denver city, Colorado",384689,384689,183687,47.7,62215,16.2,80054,20.8,29639,7.7,29094,7.6,384689,384689,3175,0.8,29197,7.6,17903,4.7,8999,2.3,34439,9,16125,4.2,12973,3.4,33449,8.7,67437,17.5,81994,21.3,45263,11.8,20378,5.3,13357,3.5,384689,384689,320374,83.3,42405,11,21715,5.6,195,0.1,26238,9,39423,687874,687874,62251,9,9.7,26.5,13.7
"Fort Collins city, Colorado",90428,90428,42609,47.1,16815,18.6,19858,22,5527,6.1,5619,6.2,90428,90428,1729,1.9,4683,5.2,7128,7.9,1622,1.8,8746,9.7,1774,2,1958,2.2,5197,5.7,12446,13.8,25050,27.7,11887,13.1,4680,5.2,3528,3.9,90428,90428,69123,76.4,16854,18.6,4264,4.7,187,0.2,4414,6.9,30830,162543,162543,11102,6.8,5.3,22,15.7
"Greeley city, Colorado",46782,46782,12802,27.4,9235,19.7,11496,24.6,5450,11.6,7799,16.7,46782,46782,2221,4.7,4227,9,4636,9.9,1237,2.6,5525,11.8,2454,5.2,445,1,2390,5.1,4191,9,10666,22.8,3872,8.3,2867,6.1,2051,4.4,46782,46782,38003,81.2,6200,13.3,2556,5.5,23,0,4568,12.5,25327,101634,101634,8808,8.7,12.4,36,17.3
"Highlands Ranch CDP, Colorado",59421,59421,35953,60.5,5056,8.5,14365,24.2,1501,2.5,2546,4.3,59421,59421,875,1.5,2542,4.3,4082,6.9,1587,2.7,6393,10.8,1921,3.2,3890,6.5,7519,12.7,11257,18.9,11645,19.6,4387,7.4,1809,3,1514,2.5,59421,59421,50526,85,6136,10.3,2528,4.3,231,0.4,726,1.8,50879,112405,112405,2601,2.3,2.3,11,3.1
"Lakewood city, Colorado",84908,84908,34941,41.2,17543,20.7,18186,21.4,7664,9,6574,7.7,84908,84908,1289,1.5,6855,8.1,4837,5.7,2134,2.5,10171,12,2650,3.1,2292,2.7,5337,6.3,13081,15.4,15186,17.9,12039,14.2,4178,4.9,4859,5.7,84908,84908,67709,79.7,10662,12.6,6376,7.5,161,0.2,4332,6.5,33435,152452,152452,12618,8.3,4.9,16.1,8.6
"Longmont city, Colorado",46779,46779,19121,40.9,8591,18.4,9748,20.8,4040,8.6,5279,11.3,46779,46779,525,1.1,3279,7,7417,15.9,936,2,4316,9.2,1671,3.6,1081,2.3,1721,3.7,7235,15.5,9838,21,4895,10.5,2830,6,1035,2.2,46779,46779,40316,86.2,3962,8.5,2359,5,142,0.3,2449,7,31601,92359,92359,7902,8.6,3.7,17.2,7.5
"Loveland city, Colorado",37894,37894,13171,34.8,7469,19.7,9040,23.9,2737,7.2,5477,14.5,37894,37894,167,0.4,2871,7.6,3758,9.9,401,1.1,4919,13,3248,8.6,562,1.5,1590,4.2,4680,12.4,7871,20.8,3880,10.2,2349,6.2,1598,4.2,37894,37894,31867,84.1,4299,11.3,1617,4.3,111,0.3,2364,7.9,31102,76464,76464,3771,4.9,5.1,21.4,9.5
"Pueblo city, Colorado",44730,44730,14171,31.7,10035,22.4,10916,24.4,4552,10.2,5056,11.3,44730,44730,473,1.1,3227,7.2,2728,6.1,1182,2.6,5553,12.4,1844,4.1,1090,2.4,1437,3.2,3884,8.7,14634,32.7,4324,9.7,2402,5.4,1952,4.4,44730,44730,36020,80.5,6919,15.5,1791,4,0,0,8942,21.1,21905,107409,107409,6873,6.4,16.6,33.8,24.2
"Thornton city, Colorado",73959,73959,24937,33.7,12186,16.5,20096,27.2,7873,10.6,8867,12,73959,73959,1012,1.4,6678,9,5269,7.1,4458,6,9280,12.5,4052,5.5,1873,2.5,3390,4.6,9485,12.8,13241,17.9,7335,9.9,4244,5.7,3642,4.9,73959,73959,62806,84.9,8418,11.4,2735,3.7,0,0,3961,8.7,30194,136282,136282,12771,9.4,5.4,16,8
"Westminster city, Colorado",61571,61571,24895,40.4,8628,14,14369,23.3,5419,8.8,8260,13.4,61571,61571,504,0.8,4857,7.9,6382,10.4,2624,4.3,6967,11.3,3539,5.7,2026,3.3,3101,5,9491,15.4,10549,17.1,6911,11.2,3042,4.9,1578,2.6,61571,61571,52343,85,6195,10.1,2888,4.7,145,0.2,3845,8.8,35328,113204,113204,9081,8,5.7,20.7,8.7
"Bridgeport city, Connecticut",67251,67251,16436,24.4,20400,30.3,13545,20.1,7100,10.6,9770,14.5,67251,67251,84,0.1,6262,9.3,5926,8.8,1083,1.6,8548,12.7,3490,5.2,953,1.4,2726,4.1,7111,10.6,18946,28.2,5740,8.5,4682,7,1700,2.5,67251,67251,55131,82,6095,9.1,6025,9,0,0,14319,28.4,22462,144100,144100,18881,13.1,19.2,30.6,21.9
"Danbury city, Connecticut",46086,46086,15336,33.3,10663,23.1,9221,20,3401,7.4,7465,16.2,46086,46086,189,0.4,3265,7.1,6313,13.7,1374,3,6556,14.2,1414,3.1,870,1.9,2636,5.7,5643,12.2,10490,22.8,3221,7,2579,5.6,1536,3.3,46086,46086,37078,80.5,5294,11.5,3427,7.4,287,0.6,2669,8.7,33481,83593,83593,10558,12.6,7.2,23.9,8.9
"Hartford city, Connecticut",50667,50667,12199,24.1,14331,28.3,12916,25.5,2648,5.2,8573,16.9,50667,50667,47,0.1,2151,4.2,4287,8.5,1022,2,6517,12.9,4464,8.8,739,1.5,2685,5.3,5309,10.5,13496,26.6,5779,11.4,2504,4.9,1667,3.3,50667,50667,42586,84.1,5240,10.3,2803,5.5,38,0.1,20572,43.7,20162,121157,121157,10538,8.7,25.3,34.2,27.3
"New Britain city, Connecticut",33270,33270,9013,27.1,8194,24.6,6963,20.9,2841,8.5,6259,18.8,33270,33270,0,0,1985,6,5939,17.9,486,1.5,2849,8.6,1334,4,379,1.1,2250,6.8,4028,12.1,8390,25.2,2641,7.9,1741,5.2,1248,3.8,33270,33270,28585,85.9,3163,9.5,1522,4.6,0,0,10041,33.7,21703,71824,71824,3876,5.4,16.6,35.5,22.4
"New Haven city, Connecticut",59912,59912,22648,37.8,15952,26.6,10442,17.4,2996,5,7874,13.1,59912,59912,0,0,1873,3.1,5218,8.7,945,1.6,5918,9.9,1740,2.9,1056,1.8,2245,3.7,5445,9.1,25243,42.1,5363,9,3624,6,1242,2.1,59912,59912,50610,84.5,7439,12.4,1863,3.1,0,0,12038,24.6,22982,128410,128410,10210,8,18.5,28.8,24.5
"Norwalk city, Connecticut",48175,48175,21304,44.2,8194,17,10928,22.7,4647,9.6,3102,6.4,48175,48175,270,0.6,4507,9.4,1990,4.1,1566,3.3,5965,12.4,2394,5,1469,3,4983,10.3,8627,17.9,8728,18.1,3981,8.3,3104,6.4,591,1.2,48175,48175,39549,82.1,3866,8,4708,9.8,52,0.1,2330,6.9,51250,88025,88025,11561,13.1,6.2,6.4,7.7
"Stamford city, Connecticut",74915,74915,31995,42.7,18362,24.5,13911,18.6,4673,6.2,5974,8,74915,74915,5,0,4978,6.6,3627,4.8,1152,1.5,6152,8.2,3023,4,1346,1.8,8582,11.5,15874,21.2,16320,21.8,7844,10.5,4197,5.6,1815,2.4,74915,74915,63004,84.1,6709,9,5202,6.9,0,0,4806,10.2,48830,128579,128579,14621,11.4,5.4,14.2,8.3
"Waterbury city, Connecticut",45380,45380,12524,27.6,10149,22.4,10581,23.3,3758,8.3,8368,18.4,45380,45380,57,0.1,2613,5.8,6567,14.5,1166,2.6,6114,13.5,1905,4.2,998,2.2,1184,2.6,3527,7.8,15232,33.6,3097,6.8,1634,3.6,1286,2.8,45380,45380,38284,84.4,4485,9.9,2547,5.6,64,0.1,12169,31.7,21504,107241,107241,6860,6.4,18.6,34.7,21.9
"Wilmington city, Delaware",29456,29456,10975,37.3,8594,29.2,6300,21.4,1303,4.4,2284,7.8,29456,29456,101,0.3,915,3.1,1189,4,491,1.7,2996,10.2,1860,6.3,283,1,2432,8.3,4633,15.7,8664,29.4,3395,11.5,1531,5.2,966,3.3,29456,29456,24291,82.5,3582,12.2,1583,5.4,0,0,6719,25.7,26096,69086,69086,3090,4.5,22.2,34.5,27.7
"Washington city, District of Columbia",364797,364797,223826,61.4,57472,15.8,57309,15.7,11072,3,15118,4.1,364797,364797,528,0.1,9659,2.6,4429,1.2,2026,0.6,16955,4.6,13119,3.6,12562,3.4,24139,6.6,83348,22.8,67446,18.5,37492,10.3,34800,9.5,58294,16,364797,364797,259445,71.1,90734,24.9,14565,4,53,0,40789,14.5,50567,670985,670985,26346,3.9,13.7,32.8,18.6
"Alafaya CDP, Florida",N,N,N,N,N,N,N,N,N,N,N,N,41454,41454,48,0.1,542,1.3,2322,5.6,934,2.3,2688,6.5,3135,7.6,185,0.4,4194,10.1,8353,20.2,9160,22.1,6216,15,1594,3.8,2083,5,41454,41454,35787,86.3,4506,10.9,1050,2.5,111,0.3,2371,7.9,26658,91779,91779,7506,8.2,13.9,40.1,15.4
"Boca Raton city, Florida",44316,44316,21316,48.1,5675,12.8,13167,29.7,2809,6.3,1349,3,44316,44316,78,0.2,2198,5,1817,4.1,1309,3,7001,15.8,1643,3.7,273,0.6,6101,13.8,8267,18.7,8886,20.1,3579,8.1,2511,5.7,653,1.5,44316,44316,38136,86.1,3370,7.6,2617,5.9,193,0.4,892,2.1,55150,95635,95635,6716,7,3.6,20.4,8.7
"Boynton Beach city, Florida",38037,38037,11686,30.7,9220,24.2,10650,28,3776,9.9,2705,7.1,38037,38037,44,0.1,3481,9.2,1548,4.1,789,2.1,5374,14.1,1434,3.8,807,2.1,2757,7.2,5402,14.2,7978,21,4792,12.6,2578,6.8,1053,2.8,38037,38037,33125,87.1,3246,8.5,1666,4.4,0,0,2941,10.2,29544,75080,75080,7643,10.2,11.9,23.4,14.4
"Brandon CDP, Florida",56949,56949,20870,36.6,9480,16.6,17768,31.2,3018,5.3,5813,10.2,56949,56949,47,0.1,2317,4.1,2683,4.7,1220,2.1,9305,16.3,3743,6.6,1373,2.4,6605,11.6,7470,13.1,11846,20.8,5958,10.5,1675,2.9,2707,4.8,56949,56949,47322,83.1,7078,12.4,2549,4.5,0,0,4416,11,28769,106192,106192,12497,11.8,6.6,19.7,8.8
"Cape Coral city, Florida",81359,81359,24498,30.1,15609,19.2,24136,29.7,9818,12.1,7298,9,81359,81359,332,0.4,8728,10.7,1756,2.2,2280,2.8,11134,13.7,3350,4.1,1070,1.3,5651,6.9,10541,13,15921,19.6,10943,13.5,5646,6.9,4007,4.9,81359,81359,64931,79.8,10540,13,5603,6.9,285,0.4,6237,9.9,26408,179374,179374,18788,10.5,8.1,33,11.9
"Clearwater city, Florida",48952,48952,17329,35.4,10103,20.6,13886,28.4,3284,6.7,4350,8.9,48952,48952,173,0.4,2857,5.8,2929,6,1239,2.5,5081,10.4,2543,5.2,684,1.4,3975,8.1,7693,15.7,10011,20.5,6644,13.6,2715,5.5,2408,4.9,48952,48952,40963,83.7,5002,10.2,2987,6.1,0,0,6449,14.2,28596,113429,113429,16563,14.6,13.6,36.8,16.7
"Coral Springs city, Florida",67182,67182,29026,43.2,12722,18.9,17903,26.6,3592,5.3,3939,5.9,67182,67182,0,0,2760,4.1,3431,5.1,2391,3.6,8795,13.1,2650,3.9,1556,2.3,6058,9,8422,12.5,17863,26.6,4853,7.2,5179,7.7,3224,4.8,67182,67182,54275,80.8,8660,12.9,4247,6.3,0,0,4584,10.7,32124,129936,129936,13104,10.1,6,15.9,9.3
"Davie town, Florida",49204,49204,21115,42.9,7563,15.4,13560,27.6,2547,5.2,4419,9,49204,49204,85,0.2,3154,6.4,1529,3.1,2408,4.9,7442,15.1,2905,5.9,409,0.8,4305,8.7,6127,12.5,11718,23.8,4713,9.6,2746,5.6,1663,3.4,49204,49204,41810,85,4391,8.9,2919,5.9,84,0.2,4435,12.9,34256,101779,101779,11175,11,10.8,31.3,13.8
"Daytona Beach city, Florida",27642,27642,8655,31.3,6202,22.4,7646,27.7,2113,7.6,3026,10.9,27642,27642,31,0.1,2023,7.3,1190,4.3,803,2.9,3535,12.8,696,2.5,412,1.5,1587,5.7,3250,11.8,7203,26.1,4749,17.2,761,2.8,1402,5.1,27642,27642,23678,85.7,2977,10.8,952,3.4,35,0.1,7355,24,23041,65531,65531,10420,15.9,10.9,21.1,20.1
"Deerfield Beach city, Florida",36778,36778,10839,29.5,9304,25.3,8810,24,4303,11.7,3522,9.6,36778,36778,73,0.2,3515,9.6,1843,5,603,1.6,4753,12.9,2174,5.9,377,1,2398,6.5,5344,14.5,6727,18.3,5668,15.4,2071,5.6,1232,3.3,36778,36778,31315,85.1,2450,6.7,3013,8.2,0,0,5272,16.9,24282,78352,78352,15545,19.8,15.8,30.9,17.9
"Delray Beach city, Florida",33065,33065,12868,38.9,8488,25.7,7899,23.9,1546,4.7,2264,6.8,33065,33065,0,0,1524,4.6,900,2.7,344,1,5200,15.7,1337,4,855,2.6,2195,6.6,5099,15.4,7657,23.2,5016,15.2,1546,4.7,1392,4.2,33065,33065,27802,84.1,2750,8.3,2513,7.6,0,0,2142,8.1,34797,66914,66914,6904,10.3,7.5,15.5,12.5
"Deltona city, Florida",39479,39479,11248,28.5,7231,18.3,12733,32.3,4958,12.6,3309,8.4,39479,39479,0,0,3398,8.6,1757,4.5,1195,3,6548,16.6,2906,7.4,943,2.4,1762,4.5,4280,10.8,9081,23,4525,11.5,1547,3.9,1537,3.9,39479,39479,32680,82.8,5361,13.6,1292,3.3,146,0.4,5145,16.5,20326,90021,90021,9137,10.1,6.7,7.3,11.5
