Geography,Estimate; Total:,Estimate; Male:,Estimate; Male: - Never married,Estimate; Male: - Now married:,Estimate; Male: - Divorced,Estimate; Female:,Estimate; Female: - Never married,Estimate; Female: - Now married:,Estimate; Female: - Divorced,% of population 15+ that are divorced,% of Pop 15+ Now Married,,per_below_pov
"Urban Honolulu CDP, Hawaii",297790,145836,60346,71379,11053,151954,46612,71285,15741,8.99761577,47.90758588,35.91725713,14.5
"Boise City city, Idaho",180130,87420,31972,44577,9837,92710,29731,44814,13483,12.94620552,49.62582579,34.25470494,6.2
"Meridian city, Idaho",72559,37457,8808,23461,4663,35102,6091,20626,4770,13.0004548,60.76020893,20.5336347,15.7
"Nampa city, Idaho",66617,31734,10976,16027,4303,34883,10705,16080,6001,15.4675233,48.19640632,32.54574658,3.7
"Arlington Heights village, Illinois",60069,29233,8368,17723,2144,30836,6220,17737,3545,9.470775275,59.03211307,24.28540512,12.3
"Aurora city, Illinois",149235,73038,28891,37783,4827,76197,27052,37518,7574,8.309712869,50.45800248,37.48651456,10.7
"Bloomington city, Illinois",65607,32164,12555,15707,2631,33443,12049,15350,3400,9.192616642,47.3379365,37.50209581,8.5
"Bolingbrook village, Illinois",58697,29541,11410,16309,1512,29156,10370,15280,2430,6.715845784,53.8170605,37.10581461,21.5
"Champaign city, Illinois",77077,41544,23574,14584,2705,35533,16950,12784,3385,7.901189719,35.50734979,52.57599543,19.1
"Chicago city, Illinois",2221531,1066103,545486,417452,77469,1155428,547802,410523,107712,8.335737831,37.27046798,49.21326779,21.1
"Cicero town, Illinois",61568,31197,15803,13408,1684,30371,13932,13313,1040,4.424376299,43.40079262,48.29619283,22.9
"Decatur city, Illinois",58576,26889,9987,11399,4657,31687,11435,11154,5455,17.26304288,38.50211691,36.571292,14.9
"Elgin city, Illinois",90721,46815,19406,23412,3009,43906,12664,22607,5335,9.197429482,50.72585179,35.35013944,14.1
"Evanston city, Illinois",63325,28793,13967,12780,1369,34532,14297,13603,3601,7.848401105,41.66285038,44.63324122,11
"Joliet city, Illinois",112655,55451,22056,26761,5670,57204,18771,28131,5626,10.02707381,48.72575563,36.24073499,4.1
"Naperville city, Illinois",115184,56496,16232,35874,3299,58688,15941,36017,3767,6.134532574,62.41405056,27.93183081,5.5
"Palatine village, Illinois",54383,27444,10014,14940,2203,26939,7522,14734,3049,9.657429711,54.56484563,32.2453708,19.8
"Peoria city, Illinois",92322,44108,19144,18667,5159,48214,18763,18780,7336,13.53415221,40.56129633,41.05955244,22.6
"Rockford city, Illinois",117718,56758,22888,24415,7606,60960,21118,23716,9332,14.38862366,40.88669532,37.38255832,8.1
"Schaumburg village, Illinois",61291,30692,10583,17005,2855,30599,8436,16085,3213,9.900311628,53.98835066,31.03065703,18.5
"Springfield city, Illinois",95360,45258,19984,18849,5368,50102,16512,19842,8925,14.98846477,40.57361577,38.27181208,17.3
"Waukegan city, Illinois",64912,31765,14205,14066,2684,33147,13463,13913,4010,10.31242297,43.10297018,42.62386,38.1
"Bloomington city, Indiana",78596,39966,27224,9333,3010,38630,22114,9726,4343,9.355437936,24.24932567,62.77418698,3.9
