GEO.id,GEO.id2,GEO.display-label,HC01_VC03,HC01_VC27,HC01_VC66,HC01_VC67,HC01_VC68,HC01_VC69,HC01_VC70,HC01_VC74,HC01_VC75,HC01_VC76,HC01_VC77,HC01_VC78,HC01_VC79,HC01_VC80,HC01_VC81,HC01_VC82,HC01_VC83,HC01_VC84,HC01_VC85,HC01_VC86,HC01_VC89,HC01_VC91,HC01_VC93,HC01_VC97,HC01_VC99,HC01_VC101,HC01_VC103,HC01_VC104,HC01_VC105,HC01_VC106,HC01_VC107,HC01_VC108,HC01_VC109,HC01_VC110,HC01_VC111,HC01_VC112,HC01_VC113,HC01_VC114,HC01_VC115,HC01_VC118,HC01_VC120,HC01_VC121,HC01_VC122,HC01_VC124,HC01_VC125,HC01_VC126,HC01_VC130,HC01_VC131,HC01_VC132,HC01_VC133,HC01_VC134,HC01_VC137,HC01_VC138,HC01_VC141,HC01_VC142,HC01_VC143,HC01_VC144,HC01_VC145,HC01_VC146,HC01_VC147,HC01_VC148,HC01_VC149,HC01_VC150,HC01_VC151,HC01_VC152,HC01_VC153,HC01_VC154,HC01_VC155,HC01_VC156,HC01_VC157
1600000US3649121,3649121,"Mount Vernon city, New York",54979,32505,33240,24756,6142,2342,0,24658,2502,822,2880,2804,2785,4120,2745,2930,1511,1559,52684,77203,19798,8167,4496,1507,711,4967,14335,535,163,1512,1474,1523,2234,2237,2130,1095,1432,71273,98237,30377,10323,31732,43597,35432,41810,50076,67561,63227,44698,28483,4334,14675,278,42777,33338,31055,28094,23236,6021,2961,2283,2058,945,1263,225,9439,8644,4426,5447,795
1600000US3650617,3650617,"New Rochelle city, New York",66077,37466,38750,31189,5125,2436,0,28795,1983,1989,2446,2217,2294,3371,2923,4640,3001,3931,75757,111002,21418,9322,4730,1571,728,2759,18001,790,587,780,1023,1042,2148,2101,3278,2669,3583,105643,144470,40998,10794,31304,49293,38266,61983,60996,78289,71943,56182,24441,6346,16287,766,51254,38256,35411,31411,28675,3132,4000,2845,2134,1444,943,711,12998,12129,7695,5291,869
1600000US3651000,3651000,"New York city, New York",6923323,4007171,4114375,3307758,539933,260787,5897,3114811,310733,174996,292468,268030,332655,464941,348022,424116,207834,291016,58856,93162,2450769,801572,390050,242298,137891,614522,1850729,112814,82094,170191,167141,210012,280739,215453,275024,136179,201082,65440,104378,35508,1264082,45345,72598,36871,51487,50234,8474487,7810756,4851171,3673362,663731,1798591,35982,5555147,4189312,3905000,3494479,2816758,774031,410521,284312,235858,94625,153942,48454,1365835,1212990,566823,728951,152845
1600000US3663000,3663000,"Rochester city, New York",165107,90231,92841,79536,9524,3755,26,84688,15535,7712,10992,10718,10583,13075,7514,5546,2022,991,31693,47336,61463,22804,9257,11536,7580,28790,41732,5763,3137,5432,5387,5917,6181,4705,3109,1627,474,37167,51842,21013,42956,26022,41037,25339,40318,35565,205683,193352,106466,106922,12331,48120,695,138804,97760,88097,80352,63425,19492,7745,9663,8625,2808,6303,1038,41044,38485,13462,28061,2559
1600000US3665508,3665508,"Schenectady city, New York",52033,27997,29019,22985,5118,885,31,20407,936,2446,3008,3016,3493,2964,2128,1243,787,386,38795,55986,15263,6369,4084,1814,1822,5443,10962,327,673,1558,1235,1846,1870,1432,993,742,286,49057,67221,22096,9445,28379,40997,24060,36826,34215,64047,61531,35772,33480,2516,13750,0,42134,30682,28014,26573,19720,7762,1441,2668,2450,1134,1316,218,11452,10815,4670,7536,637
1600000US3673000,3673000,"Syracuse city, New York",117352,58590,60234,49573,7879,2737,45,56295,9125,5474,7997,6217,7759,7672,4440,5011,1361,1239,33695,51070,39723,17779,8097,5847,4208,17401,27232,3448,2069,3111,3086,3302,4273,2605,3620,940,778,43678,61238,22202,29063,24463,38586,23071,41449,39102,140942,132924,83615,70545,8018,28478,665,95623,61868,56101,51406,42175,12615,4695,5767,5224,1874,3663,543,33755,31675,16285,18292,2080
1600000US3684000,3684000,"Yonkers city, New York",164521,93010,95347,76673,14655,4016,3,72040,6311,3207,6574,5862,8718,9953,9128,11208,5741,5338,62049,85641,54809,22613,13445,5110,2645,11188,47874,2375,1363,3490,4024,6393,6495,6460,8252,4565,4457,74091,95924,32080,24166,40999,61566,34426,57391,46271,199743,182129,123420,84542,17614,41514,1476,124187,95834,87877,76334,64816,14116,11543,7957,7015,3109,4012,942,28353,25159,12904,14610,3194
1600000US3702140,3702140,"Asheville city, North Carolina",76077,44570,45704,36688,4419,4597,0,37527,2155,2623,5347,4578,5464,7710,3907,3452,964,1327,45814,61680,27216,11204,6963,1470,691,3967,18122,423,589,1777,1952,2104,4001,2738,2600,952,986,60575,79792,28146,19405,31736,42043,24695,35934,32707,87511,78397,60524,28449,9114,15040,660,58002,45226,43196,36802,35324,2332,6394,2030,1796,1387,539,234,12776,11022,6771,5172,1754
1600000US3710740,3710740,"Cary town, North Carolina",125300,83116,83848,69021,10784,4015,28,60298,1125,1001,2788,3042,5985,7422,8685,12894,7966,9390,100167,122003,51534,12956,10722,775,384,2690,45552,132,677,1449,1848,3401,4627,6786,10928,6938,8766,111934,137873,46035,14746,51173,66512,55599,93296,57019,163718,151612,136154,28615,12106,43871,2213,99138,82436,79189,72742,72080,1330,6447,3247,2434,1987,494,813,16702,14319,12623,1939,2383
1600000US3712000,3712000,"Charlotte city, North Carolina",658524,437060,446387,388982,35200,21685,520,319816,18787,10358,28030,31913,42219,58348,41110,47076,17360,24615,61017,86922,275444,61654,34754,11531,3689,33751,189874,8031,3450,13779,15605,22350,33841,25753,32412,13537,21116,72899,104225,34461,129942,44790,58956,35227,50627,41114,837580,735996,575996,218990,101584,205087,14428,553685,448881,425576,367153,349114,24729,58423,23305,15791,9000,7063,7514,104804,84769,59339,31069,20035
